Syllable,tutor_or152br44,gn56bk56
ab,-0.0,-0.0
bb,-0.0,-0.0
bc,0.29996652480721536,1.463740095433725
cd,-0.0,0.5032583347756457
cm,1.0934335332831449,1.471546640026693
et,-0.0,-0.0
fb,-0.0,-0.0
ia,-0.0,-0.0
ii,0.5614671047866329,0.7918583525674836
mq,0.4897707473090772,-0.0
qa,-0.0,-0.0
qq,0.9494520153879484,0.9682710238495325
ry,0.010726107531533738,-0.0
tu,0.27281036046931717,1.1639016302747556
ur,0.01064695172940619,-0.0
yf,0.05205308089991524,0.11327430349709672
